nct_id,study_type,phase,overall_status,enrollment,start_date,completion_date,sponsor_type,sponsor_name,primary_condition,duration_days
NCT100000000,Interventional,Phase 3,Completed,27,2022-08-10,2025-09-24,Industry,Industry Sponsor #115,Major Depressive Disorder,1141
NCT100000001,Interventional,Phase 3,Completed,10,2012-05-30,2015-01-03,Other,Other Sponsor #217,Hypertension,948
NCT100000002,Interventional,Phase 1,Completed,33,2012-12-02,2015-10-05,Industry,Industry Sponsor #102,Migraine,1037
NCT100000003,Interventional,Phase 1,"Active, not recruiting",276,2020-08-28,,NIH,NIH Sponsor #4,Asthma,
NCT100000004,Interventional,Phase 2,Unknown status,33,2017-08-26,,Industry,Industry Sponsor #173,Chronic Kidney Disease,
NCT100000005,Interventional,Phase 1,Withdrawn,16,2019-04-27,2020-07-27,Other,Other Sponsor #23,Migraine,457
NCT100000006,Interventional,Phase 4,Completed,41,2022-05-15,2025-10-21,Industry,Industry Sponsor #322,Psoriasis,1255
NCT100000007,Interventional,Phase 1,Withdrawn,60,2022-09-03,2023-09-24,Industry,Industry Sponsor #396,Hypertension,386
NCT100000008,Interventional,Phase 3,Completed,93,2013-04-25,2015-06-21,Other,Other Sponsor #233,Psoriasis,787
NCT100000009,Interventional,Phase 2,Completed,329,2018-01-16,2020-03-19,Industry,Industry Sponsor #350,Schizophrenia,793
NCT100000010,Interventional,Phase 2,Completed,190,2014-05-28,2017-04-11,Industry,Industry Sponsor #139,Migraine,1049
NCT100000011,Interventional,Phase 3,Completed,107,2021-07-03,2023-07-27,Other,Other Sponsor #17,Chronic Kidney Disease,754
NCT100000012,Interventional,Phase 1,Terminated,71,2016-10-23,2018-01-22,Other,Other Sponsor #368,Parkinson's Disease,456
NCT100000013,Interventional,Phase 2,Completed,59,2013-12-31,2016-06-22,Other,Other Sponsor #136,Migraine,904
NCT100000014,Interventional,Phase 2,Completed,36,2021-07-29,2023-07-06,Other,Other Sponsor #299,Alzheimer's Disease,707
NCT100000015,Interventional,Phase 4,Completed,502,2013-02-04,2014-11-20,Industry,Industry Sponsor #387,Major Depressive Disorder,654
NCT100000016,Interventional,Phase 1,Recruiting,61,2019-06-24,,Industry,Industry Sponsor #306,Chronic Kidney Disease,
NCT100000017,Interventional,Phase 2,Completed,176,2020-07-08,2023-05-12,Industry,Industry Sponsor #284,Breast Cancer,1038
NCT100000018,Interventional,Phase 3,Completed,52,2011-06-18,2014-09-09,Industry,Industry Sponsor #329,Coronary Artery Disease,1179
