nct_id,primary_condition
NCT100000000,Major Depressive Disorder
NCT100000001,Hypertension
NCT100000002,Migraine
NCT100000003,Asthma
NCT100000004,Chronic Kidney Disease
NCT100000005,Migraine
NCT100000006,Psoriasis
NCT100000007,Hypertension
NCT100000008,Psoriasis
NCT100000009,Schizophrenia
NCT100000010,Migraine
NCT100000011,Chronic Kidney Disease
NCT100000012,Parkinson's Disease
NCT100000013,Migraine
NCT100000014,Alzheimer's Disease
NCT100000015,Major Depressive Disorder
NCT100000016,Chronic Kidney Disease
NCT100000017,Breast Cancer
NCT100000018,Coronary Artery Disease
NCT100000019,Ulcerative Colitis
NCT100000020,Ulcerative Colitis
NCT100000021,Ulcerative Colitis
NCT100000022,Alzheimer's Disease
NCT100000023,Migraine
NCT100000024,Schizophrenia
NCT100000025,Coronary Artery Disease
NCT100000026,Alzheimer's Disease
NCT100000027,Breast Cancer
NCT100000028,Hypertension
NCT100000029,Osteoarthritis
NCT100000030,Obesity
NCT100000031,Major Depressive Disorder
NCT100000032,Migraine
NCT100000033,Hypertension
NCT100000034,Breast Cancer
NCT100000035,Asthma
NCT100000036,Migraine
NCT100000037,Osteoarthritis
NCT100000038,Ulcerative Colitis
NCT100000039,Alzheimer's Disease
NCT100000040,Schizophrenia
NCT100000041,Chronic Obstructive Pulmonary Disease
NCT100000042,Hypertension
NCT100000043,Chronic Obstructive Pulmonary Disease
NCT100000044,Psoriasis
NCT100000045,Ulcerative Colitis
NCT100000046,Major Depressive Disorder
NCT100000047,Chronic Obstructive Pulmonary Disease
NCT100000048,Obesity
NCT100000049,Non-Small Cell Lung Cancer
NCT100000050,Rheumatoid Arthritis
NCT100000051,Type 2 Diabetes Mellitus
NCT100000052,Chronic Obstructive Pulmonary Disease
NCT100000053,Rheumatoid Arthritis
NCT100000054,Multiple Sclerosis
NCT100000055,Non-Small Cell Lung Cancer
NCT100000056,HIV Infections
NCT100000057,Chronic Obstructive Pulmonary Disease
NCT100000058,Ulcerative Colitis
NCT100000059,Non-Small Cell Lung Cancer
NCT100000060,Psoriasis
NCT100000061,Osteoarthritis
NCT100000062,Migraine
NCT100000063,Major Depressive Disorder
NCT100000064,Coronary Artery Disease
NCT100000065,Asthma
NCT100000066,Osteoarthritis
NCT100000067,Parkinson's Disease
NCT100000068,Ulcerative Colitis
NCT100000069,Coronary Artery Disease
NCT100000070,Schizophrenia
NCT100000071,Chronic Kidney Disease
NCT100000072,Major Depressive Disorder
NCT100000073,Alzheimer's Disease
NCT100000074,Migraine
NCT100000075,Obesity
NCT100000076,Alzheimer's Disease
NCT100000077,Non-Small Cell Lung Cancer
NCT100000078,Hypertension
NCT100000079,Obesity
NCT100000080,Osteoarthritis
NCT100000081,Breast Cancer
NCT100000082,Migraine
NCT100000083,Breast Cancer
NCT100000084,HIV Infections
NCT100000085,Breast Cancer
NCT100000086,Chronic Kidney Disease
NCT100000087,Obesity
NCT100000088,Psoriasis
NCT100000089,Alzheimer's Disease
NCT100000090,Osteoarthritis
NCT100000091,Major Depressive Disorder
NCT100000092,Chronic Kidney Disease
NCT100000093,Alzheimer's Disease
NCT100000094,Osteoarthritis
NCT100000095,Breast Cancer
NCT100000096,HIV Infections
NCT100000097,Migraine
NCT100000098,Hypertension
NCT100000099,Multiple Sclerosis
NCT100000100,Multiple Sclerosis
NCT100000101,Chronic Obstructive Pulmonary Disease
NCT100000102,Parkinson's Disease
NCT100000103,Chronic Kidney Disease
NCT100000104,Psoriasis
NCT100000105,Coronary Artery Disease
NCT100000106,Asthma
NCT100000107,Coronary Artery Disease
NCT100000108,Breast Cancer
NCT100000109,Rheumatoid Arthritis
NCT100000110,Parkinson's Disease
NCT100000111,Parkinson's Disease
NCT100000112,Osteoarthritis
NCT100000113,Schizophrenia
NCT100000114,Obesity
NCT100000115,Chronic Obstructive Pulmonary Disease
NCT100000116,Obesity
NCT100000117,Coronary Artery Disease
NCT100000118,Osteoarthritis
NCT100000119,Hypertension
NCT100000120,HIV Infections
NCT100000121,HIV Infections
NCT100000122,Breast Cancer
NCT100000123,Non-Small Cell Lung Cancer
NCT100000124,Asthma
NCT100000125,Multiple Sclerosis
NCT100000126,Chronic Kidney Disease
NCT100000127,Major Depressive Disorder
NCT100000128,Migraine
NCT100000129,HIV Infections
NCT100000130,Parkinson's Disease
NCT100000131,Coronary Artery Disease
NCT100000132,Major Depressive Disorder
NCT100000133,Non-Small Cell Lung Cancer
NCT100000134,Chronic Kidney Disease
NCT100000135,Non-Small Cell Lung Cancer
NCT100000136,Coronary Artery Disease
NCT100000137,Parkinson's Disease
NCT100000138,Chronic Obstructive Pulmonary Disease
NCT100000139,Chronic Kidney Disease
NCT100000140,Type 2 Diabetes Mellitus
NCT100000141,HIV Infections
NCT100000142,Rheumatoid Arthritis
NCT100000143,Hypertension
NCT100000144,Parkinson's Disease
NCT100000145,Hypertension
NCT100000146,Breast Cancer
NCT100000147,Ulcerative Colitis
NCT100000148,Chronic Kidney Disease
NCT100000149,Non-Small Cell Lung Cancer
NCT100000150,Migraine
NCT100000151,Non-Small Cell Lung Cancer
NCT100000152,Psoriasis
NCT100000153,Breast Cancer
NCT100000154,Parkinson's Disease
NCT100000155,Rheumatoid Arthritis
NCT100000156,Type 2 Diabetes Mellitus
NCT100000157,Asthma
NCT100000158,Non-Small Cell Lung Cancer
NCT100000159,Coronary Artery Disease
NCT100000160,Chronic Kidney Disease
NCT100000161,Psoriasis
NCT100000162,Major Depressive Disorder
NCT100000163,Hypertension
NCT100000164,Rheumatoid Arthritis
NCT100000165,Migraine
NCT100000166,Migraine
NCT100000167,Parkinson's Disease
NCT100000168,HIV Infections
NCT100000169,Psoriasis
NCT100000170,Chronic Obstructive Pulmonary Disease
NCT100000171,Rheumatoid Arthritis
NCT100000172,Chronic Obstructive Pulmonary Disease
NCT100000173,Rheumatoid Arthritis
NCT100000174,Breast Cancer
NCT100000175,Non-Small Cell Lung Cancer
NCT100000176,HIV Infections
NCT100000177,Schizophrenia
NCT100000178,Breast Cancer
NCT100000179,HIV Infections
NCT100000180,Schizophrenia
NCT100000181,HIV Infections
NCT100000182,Migraine
NCT100000183,Major Depressive Disorder
NCT100000184,Parkinson's Disease
NCT100000185,Rheumatoid Arthritis
NCT100000186,Psoriasis
NCT100000187,Coronary Artery Disease
NCT100000188,Parkinson's Disease
NCT100000189,Non-Small Cell Lung Cancer
NCT100000190,Schizophrenia
NCT100000191,Non-Small Cell Lung Cancer
NCT100000192,Rheumatoid Arthritis
NCT100000193,Hypertension
NCT100000194,Osteoarthritis
NCT100000195,Non-Small Cell Lung Cancer
NCT100000196,Ulcerative Colitis
NCT100000197,Ulcerative Colitis
NCT100000198,Chronic Obstructive Pulmonary Disease
NCT100000199,Major Depressive Disorder
NCT100000200,Alzheimer's Disease
NCT100000201,Type 2 Diabetes Mellitus
NCT100000202,Osteoarthritis
NCT100000203,Multiple Sclerosis
NCT100000204,Hypertension
NCT100000205,Multiple Sclerosis
NCT100000206,Chronic Obstructive Pulmonary Disease
NCT100000207,Alzheimer's Disease
NCT100000208,Hypertension
NCT100000209,HIV Infections
NCT100000210,HIV Infections
NCT100000211,Psoriasis
NCT100000212,Coronary Artery Disease
NCT100000213,Chronic Kidney Disease
NCT100000214,Osteoarthritis
NCT100000215,HIV Infections
NCT100000216,HIV Infections
NCT100000217,Coronary Artery Disease
NCT100000218,Multiple Sclerosis
NCT100000219,Schizophrenia
NCT100000220,Chronic Kidney Disease
NCT100000221,Multiple Sclerosis
NCT100000222,Ulcerative Colitis
NCT100000223,Parkinson's Disease
NCT100000224,Major Depressive Disorder
NCT100000225,Schizophrenia
NCT100000226,Asthma
NCT100000227,HIV Infections
NCT100000228,Chronic Obstructive Pulmonary Disease
NCT100000229,Asthma
NCT100000230,Parkinson's Disease
NCT100000231,Coronary Artery Disease
NCT100000232,Hypertension
NCT100000233,Ulcerative Colitis
NCT100000234,Major Depressive Disorder
NCT100000235,Parkinson's Disease
NCT100000236,Hypertension
NCT100000237,Obesity
NCT100000238,Schizophrenia
NCT100000239,Ulcerative Colitis
NCT100000240,Alzheimer's Disease
NCT100000241,Ulcerative Colitis
NCT100000242,Parkinson's Disease
NCT100000243,Hypertension
NCT100000244,Multiple Sclerosis
NCT100000245,HIV Infections
NCT100000246,HIV Infections
