nct_id,sponsor_type,sponsor_name
NCT100000000,Industry,Industry Sponsor #115
NCT100000001,Other,Other Sponsor #217
NCT100000002,Industry,Industry Sponsor #102
NCT100000003,NIH,NIH Sponsor #4
NCT100000004,Industry,Industry Sponsor #173
NCT100000005,Other,Other Sponsor #23
NCT100000006,Industry,Industry Sponsor #322
NCT100000007,Industry,Industry Sponsor #396
NCT100000008,Other,Other Sponsor #233
NCT100000009,Industry,Industry Sponsor #350
NCT100000010,Industry,Industry Sponsor #139
NCT100000011,Other,Other Sponsor #17
NCT100000012,Other,Other Sponsor #368
NCT100000013,Other,Other Sponsor #136
NCT100000014,Other,Other Sponsor #299
NCT100000015,Industry,Industry Sponsor #387
NCT100000016,Industry,Industry Sponsor #306
NCT100000017,Industry,Industry Sponsor #284
NCT100000018,Industry,Industry Sponsor #329
NCT100000019,Industry,Industry Sponsor #369
NCT100000020,Industry,Industry Sponsor #321
NCT100000021,Industry,Industry Sponsor #277
NCT100000022,Industry,Industry Sponsor #158
NCT100000023,Other,Other Sponsor #249
NCT100000024,Industry,Industry Sponsor #136
NCT100000025,Industry,Industry Sponsor #374
NCT100000026,Other,Other Sponsor #265
NCT100000027,Industry,Industry Sponsor #118
NCT100000028,Other,Other Sponsor #17
NCT100000029,Other,Other Sponsor #68
NCT100000030,Other,Other Sponsor #98
NCT100000031,Industry,Industry Sponsor #28
NCT100000032,Industry,Industry Sponsor #128
NCT100000033,Industry,Industry Sponsor #128
NCT100000034,Other,Other Sponsor #334
NCT100000035,Industry,Industry Sponsor #206
NCT100000036,Industry,Industry Sponsor #233
NCT100000037,Industry,Industry Sponsor #112
NCT100000038,Industry,Industry Sponsor #258
NCT100000039,Industry,Industry Sponsor #305
NCT100000040,Other,Other Sponsor #297
NCT100000041,Other,Other Sponsor #162
NCT100000042,Industry,Industry Sponsor #235
NCT100000043,Other,Other Sponsor #52
NCT100000044,Industry,Industry Sponsor #36
NCT100000045,Other,Other Sponsor #314
NCT100000046,Other,Other Sponsor #69
NCT100000047,Industry,Industry Sponsor #108
NCT100000048,Industry,Industry Sponsor #27
NCT100000049,Industry,Industry Sponsor #67
NCT100000050,NIH,NIH Sponsor #5
NCT100000051,Other,Other Sponsor #76
NCT100000052,Other,Other Sponsor #21
NCT100000053,Industry,Industry Sponsor #209
NCT100000054,Other,Other Sponsor #13
NCT100000055,Industry,Industry Sponsor #377
NCT100000056,Industry,Industry Sponsor #241
NCT100000057,Other,Other Sponsor #115
NCT100000058,Industry,Industry Sponsor #396
NCT100000059,Other,Other Sponsor #15
NCT100000060,Other,Other Sponsor #56
