nct_id,study_type,phase,overall_status,enrollment,start_date,completion_date
NCT100000000,Interventional,Phase 3,Completed,27,2022-08-10,2025-09-24
NCT100000001,Interventional,Phase 3,Completed,10,2012-05-30,2015-01-03
NCT100000002,Interventional,Phase 1,Completed,33,2012-12-02,2015-10-05
NCT100000003,Interventional,Phase 1,"Active, not recruiting",276,2020-08-28,
NCT100000004,Interventional,Phase 2,Unknown status,33,2017-08-26,
NCT100000005,Interventional,Phase 1,Withdrawn,16,2019-04-27,2020-07-27
NCT100000006,Interventional,Phase 4,Completed,41,2022-05-15,2025-10-21
NCT100000007,Interventional,Phase 1,Withdrawn,60,2022-09-03,2023-09-24
NCT100000008,Interventional,Phase 3,Completed,93,2013-04-25,2015-06-21
NCT100000009,Interventional,Phase 2,Completed,329,2018-01-16,2020-03-19
NCT100000010,Interventional,Phase 2,Completed,190,2014-05-28,2017-04-11
NCT100000011,Interventional,Phase 3,Completed,107,2021-07-03,2023-07-27
NCT100000012,Interventional,Phase 1,Terminated,71,2016-10-23,2018-01-22
NCT100000013,Interventional,Phase 2,Completed,59,2013-12-31,2016-06-22
NCT100000014,Interventional,Phase 2,Completed,36,2021-07-29,2023-07-06
NCT100000015,Interventional,Phase 4,Completed,502,2013-02-04,2014-11-20
NCT100000016,Interventional,Phase 1,Recruiting,61,2019-06-24,
NCT100000017,Interventional,Phase 2,Completed,176,2020-07-08,2023-05-12
NCT100000018,Interventional,Phase 3,Completed,52,2011-06-18,2014-09-09
NCT100000019,Interventional,Phase 2,Unknown status,24,2023-10-19,
NCT100000020,Interventional,Phase 3,Completed,159,2011-11-16,2014-06-25
NCT100000021,Interventional,Phase 2,Recruiting,108,2019-05-10,
NCT100000022,Interventional,Phase 2,Completed,63,2020-12-18,2023-07-31
NCT100000023,Interventional,Phase 4,Completed,33,2011-05-05,2012-12-19
NCT100000024,Interventional,Phase 1,Terminated,91,2013-06-02,2014-06-13
NCT100000025,Interventional,Phase 2,Completed,80,2017-09-10,2019-08-29
NCT100000026,Interventional,Phase 4,Completed,8,2016-06-05,2017-12-31
NCT100000027,Interventional,Phase 1,Terminated,31,2024-08-17,2025-04-17
NCT100000028,Interventional,Phase 1,Completed,137,2022-09-05,2024-03-09
NCT100000029,Interventional,Phase 1,Completed,35,2012-06-12,2015-04-01
NCT100000030,Interventional,Phase 2,Recruiting,73,2015-08-04,
NCT100000031,Interventional,Phase 2,"Active, not recruiting",17,2013-08-26,
NCT100000032,Interventional,Phase 2,"Active, not recruiting",48,2022-05-18,
NCT100000033,Interventional,Phase 2,Completed,92,2017-06-25,2021-04-08
NCT100000034,Interventional,Phase 3,Completed,68,2012-04-07,2014-12-07
NCT100000035,Interventional,Phase 1,Completed,135,2015-12-12,2019-05-29
NCT100000036,Interventional,Phase 4,Recruiting,31,2013-07-23,
NCT100000037,Interventional,Phase 3,Completed,18,2019-09-19,2022-09-26
NCT100000038,Interventional,Phase 3,Completed,27,2025-05-17,2025-12-31
NCT100000039,Interventional,Phase 4,Completed,2568,2018-04-19,2020-12-16
NCT100000040,Interventional,Phase 2,Terminated,76,2018-02-06,2018-09-19
NCT100000041,Interventional,Phase 1,Terminated,45,2017-08-01,2018-12-14
NCT100000042,Interventional,Phase 1,Withdrawn,27,2013-02-07,2013-06-19
NCT100000043,Interventional,Phase 1,Terminated,77,2015-03-21,2017-02-10
NCT100000044,Interventional,Phase 2,Completed,50,2012-08-13,2014-03-02
NCT100000045,Interventional,Phase 1,Recruiting,781,2019-04-28,
NCT100000046,Interventional,Phase 2,Unknown status,155,2023-06-12,
NCT100000047,Interventional,Phase 3,Completed,262,2015-10-04,2018-07-23
NCT100000048,Interventional,Phase 2,"Active, not recruiting",42,2014-11-03,
NCT100000049,Interventional,Phase 3,Completed,53,2013-06-20,2015-03-31
