group,duration_days
Completed,1141.0
Completed,948.0
Completed,1037.0
Terminated/Withdrawn,457.0
Completed,1255.0
Terminated/Withdrawn,386.0
Completed,787.0
Completed,793.0
Completed,1049.0
Completed,754.0
Terminated/Withdrawn,456.0
Completed,904.0
Completed,707.0
Completed,654.0
Completed,1038.0
Completed,1179.0
Completed,952.0
Completed,955.0
Completed,594.0
Terminated/Withdrawn,376.0
Completed,718.0
Completed,574.0
Terminated/Withdrawn,243.0
Completed,551.0
Completed,1023.0
Completed,1383.0
Completed,974.0
Completed,1264.0
Completed,1103.0
Completed,228.0
Completed,972.0
Terminated/Withdrawn,225.0
Terminated/Withdrawn,500.0
Terminated/Withdrawn,132.0
Terminated/Withdrawn,692.0
Completed,566.0
Completed,1023.0
Completed,649.0
Completed,957.0
Terminated/Withdrawn,360.0
Completed,650.0
Terminated/Withdrawn,677.0
Completed,919.0
Terminated/Withdrawn,145.0
Completed,562.0
Completed,921.0
Completed,680.0
Completed,855.0
Terminated/Withdrawn,339.0
Completed,185.0
Completed,912.0
Completed,677.0
Completed,562.0
Completed,726.0
Completed,1392.0
Completed,790.0
Terminated/Withdrawn,320.0
Completed,806.0
Completed,593.0
Completed,1613.0
Completed,609.0
Completed,573.0
Completed,867.0
Completed,396.0
Completed,669.0
Completed,830.0
Completed,1256.0
Completed,980.0
Completed,747.0
Terminated/Withdrawn,239.0
Completed,763.0
Terminated/Withdrawn,226.0
Completed,862.0
Completed,1199.0
Completed,872.0
Terminated/Withdrawn,218.0
Completed,774.0
Completed,888.0
Completed,723.0
Completed,678.0
Completed,916.0
Completed,1076.0
Terminated/Withdrawn,341.0
Completed,532.0
Completed,17.0
Completed,1055.0
Terminated/Withdrawn,344.0
Terminated/Withdrawn,414.0
Completed,602.0
Completed,895.0
Completed,938.0
Completed,710.0
Completed,624.0
Completed,818.0
Completed,693.0
Completed,864.0
Terminated/Withdrawn,248.0
Completed,1123.0
Completed,842.0
Completed,912.0
Terminated/Withdrawn,244.0
Terminated/Withdrawn,540.0
Completed,690.0
Completed,765.0
Completed,808.0
Terminated/Withdrawn,535.0
Completed,834.0
Completed,453.0
Completed,653.0
Terminated/Withdrawn,168.0
Terminated/Withdrawn,438.0
Completed,1103.0
Terminated/Withdrawn,54.0
