sponsor_type,enrollment
Industry,27
Other,10
Industry,33
NIH,276
Industry,33
Other,16
Industry,41
Industry,60
Other,93
Industry,329
Industry,190
Other,107
Other,71
Other,59
Other,36
Industry,502
Industry,61
Industry,176
Industry,52
Industry,24
Industry,159
Industry,108
Industry,63
Other,33
Industry,91
Industry,80
Other,8
Industry,31
Other,137
Other,35
Other,73
Industry,17
Industry,48
Industry,92
Other,68
Industry,135
Industry,31
Industry,18
Industry,27
Industry,2568
Other,76
Other,45
Industry,27
Other,77
Industry,50
Other,781
Other,155
Industry,262
Industry,42
Industry,53
NIH,508
Other,279
Other,93
Industry,111
Other,470
Industry,57
Industry,32
Other,33
Industry,74
Other,122
Other,11
Industry,19
Industry,51
Other,290
Industry,40
Industry,25
Industry,779
Industry,45
Other,24
NIH,48
Industry,48
Other,8
Other,542
Other,83
Industry,28
Other,34
Industry,66
Industry,47
Industry,288
Industry,90
Industry,2289
Industry,37
Industry,121
Other,99
Other,13
Other,75
Industry,67
Industry,488
Industry,126
Industry,656
Other,160
Industry,61
Industry,348
Other,153
Industry,280
Industry,97
Industry,208
Other,50
Other,28
Industry,28
Industry,128
Other,79
Other,5
Industry,491
Industry,238
Other,73
Industry,75
Industry,26
Other,347
Industry,237
Other,156
Industry,8
Industry,53
Industry,21
Industry,164
Industry,17
Industry,95
NIH,72
Industry,40
Industry,57
Industry,233
Other,10
Industry,6
Other,69
Industry,414
Industry,426
Other,8
NIH,615
Industry,155
Industry,44
Industry,147
Other,284
Industry,61
Industry,134
Industry,980
NIH,19
Other,52
NIH,5
NIH,824
Other,32
Other,35
Other,13
Industry,467
Other,112
Other,93
Industry,193
Other,96
Industry,61
Other,167
Industry,48
Other,94
Industry,153
Industry,81
Other,23
Other,18
Industry,72
Other,64
Industry,30
Industry,151
Industry,187
Industry,336
Other,20
Other,43
Other,15
Industry,170
Industry,63
Industry,27
Other,17
Other,82
Industry,210
Industry,111
NIH,55
Industry,16
Industry,378
Industry,136
Other,12
Other,662
Industry,574
Other,6
Industry,55
Industry,11
Industry,43
Industry,150
Other,106
Industry,150
Industry,118
Other,56
Other,28
Industry,5
Industry,9
Other,38
Other,13
Industry,164
Industry,109
Industry,12
Industry,73
Industry,25
Industry,110
Industry,88
Industry,12
Other,5
Other,10
Industry,134
Other,44
Other,28
NIH,456
Industry,67
Industry,36
Industry,71
Other,50
Other,109
Industry,201
Industry,22
Other,15
NIH,276
Industry,16
Industry,217
Industry,96
Other,66
NIH,179
NIH,299
