start_year,phase,n
2011,Phase 1,150
2011,Phase 2,203
2011,Phase 3,135
2011,Phase 4,80
2012,Phase 1,200
2012,Phase 2,218
2012,Phase 3,154
2012,Phase 4,91
2013,Phase 1,157
2013,Phase 2,216
2013,Phase 3,157
2013,Phase 4,85
2014,Phase 1,163
2014,Phase 2,215
2014,Phase 3,153
2014,Phase 4,81
2015,Phase 1,154
2015,Phase 2,202
2015,Phase 3,146
2015,Phase 4,75
2016,Phase 1,168
2016,Phase 2,197
2016,Phase 3,151
2016,Phase 4,72
2017,Phase 1,162
2017,Phase 2,201
2017,Phase 3,121
2017,Phase 4,85
2018,Phase 1,188
2018,Phase 2,193
2018,Phase 3,149
2018,Phase 4,88
2019,Phase 1,172
2019,Phase 2,196
2019,Phase 3,125
2019,Phase 4,61
2020,Phase 1,166
2020,Phase 2,211
2020,Phase 3,166
2020,Phase 4,75
2021,Phase 1,188
2021,Phase 2,195
2021,Phase 3,160
2021,Phase 4,84
2022,Phase 1,159
2022,Phase 2,200
2022,Phase 3,161
2022,Phase 4,77
2023,Phase 1,168
2023,Phase 2,206
2023,Phase 3,146
2023,Phase 4,80
2024,Phase 1,145
2024,Phase 2,209
2024,Phase 3,144
2024,Phase 4,83
2025,Phase 1,175
2025,Phase 2,199
2025,Phase 3,152
2025,Phase 4,87
