start_year,sponsor_type,n
2011,Industry,280
2011,NIH,56
2011,Other,232
2012,Industry,376
2012,NIH,44
2012,Other,243
2013,Industry,370
2013,NIH,32
2013,Other,213
2014,Industry,340
2014,NIH,41
2014,Other,231
2015,Industry,308
2015,NIH,34
2015,Other,235
2016,Industry,315
2016,NIH,40
2016,Other,233
2017,Industry,317
2017,NIH,34
2017,Other,218
2018,Industry,342
2018,NIH,42
2018,Other,234
2019,Industry,299
2019,NIH,38
2019,Other,217
2020,Industry,338
2020,NIH,44
2020,Other,236
2021,Industry,315
2021,NIH,66
2021,Other,246
2022,Industry,331
2022,NIH,49
2022,Other,217
2023,Industry,321
2023,NIH,50
2023,Other,229
2024,Industry,308
2024,NIH,36
2024,Other,237
2025,Industry,340
2025,NIH,41
2025,Other,232
